LEAID,LEA_NAME,STATE_ABBR,LOCALE,TOTAL,FREE_REDUCED_LUNCH_ELIGIBLE,ENGLISH_LEARNERS,LEA_TYPE
0100002,Alabama Youth Services,AL,41,,,,1
0100005,Albertville City,AL,32,5910,3821,,1
0100006,Marshall County,AL,42,6494,3906,,1
0100007,Hoover City,AL,21,13632,4174,,1
0100008,Madison City,AL,21,13046,3287,,1
0100009,Al Inst Deaf And Blind,AL,32,,,,5
0100010,Al Sch Of Math And Science,AL,12,,,,5
0100011,Leeds City,AL,21,2271,1044,,1
0100012,Boaz City,AL,32,2607,1728,,1
0100013,Trussville City,AL,21,5005,827,,1
0100018,Alabama School of Fine Arts,AL,12,,,,5
0100030,Alexander City,AL,32,2836,1838,,1
0100060,Andalusia City,AL,41,1823,1014,,1
0100090,Anniston City,AL,13,1821,1385,,1
0100100,Arab City,AL,32,2595,1083,,1
0100120,Athens City,AL,31,5405,2735,,1
0100176,JF Ingram State Technical College,AL,41,,,,5
0100180,Attalla City,AL,23,1460,1004,,1
0100185,Saraland City,AL,21,3514,1625,,1
0100188,Chickasaw City,AL,21,2679,2001,,1
0100189,Satsuma City,AL,21,1534,697,,1
0100190,Alabaster City,AL,21,6316,3280,,1
0100194,Pelham City,AL,21,3444,1631,,1
0100195,Pike Road City,AL,41,2822,666,,1
0100197,MAEF Public Charter Schools,AL,12,835,696,,7
0100199,University Charter School,AL,43,716,313,,7
0100201,Legacy Prep,AL,12,536,430,,7
0100202,Gulf Shores City,AL,41,2748,898,,1
0100203,LEAD Academy,AL,12,752,586,,7
0100204,i3 Academy,AL,12,811,597,,7
0100207,LIFE Academy,AL,12,599,494,,7
0100208,Breakthrough Charter School,AL,43,375,261,,7
0100209,Ivy Classical Academy,AL,21,619,175,,7
0100210,Auburn City,AL,13,9488,3183,,1
0100211,Magic City Acceptance Academy,AL,21,345,171,,7
0100212,Alabama School of Cyber Technology and Engineering,AL,12,,,,5
0100213,Alabama Aerospace and Aviation,AL,21,161,99,,7
0100240,Autauga County,AL,42,8888,4048,,1
0100270,Baldwin County,AL,13,31965,13382,,1
0100300,Barbour County,AL,43,658,547,,1
0100330,Bessemer City,AL,21,3012,2385,,1
0100360,Bibb County,AL,42,3063,1693,,1
0100390,Birmingham City,AL,12,20954,16106,,1
0100420,Blount County,AL,42,7600,3715,,1
0100450,Brewton City,AL,32,1168,622,,1
0100480,Bullock County,AL,42,1327,1134,,1
0100510,Butler County,AL,32,2699,1958,,1
0100540,Calhoun County,AL,41,7997,4504,,1
0100600,Chambers County,AL,32,3203,1930,,1
0100630,Cherokee County,AL,42,3860,2021,,1
0100660,Chilton County,AL,42,7921,4491,,1
0100690,Choctaw County,AL,43,1025,770,,1
0100720,Clarke County,AL,43,2130,1564,,1
0100750,Clay County,AL,42,1729,1075,,1
0100780,Cleburne County,AL,42,2490,1170,,1
0100810,Coffee County,AL,42,2953,1488,,1
0100840,Colbert County,AL,41,2573,1519,,1
0100870,Conecuh County,AL,43,1344,1006,,1
0100900,Coosa County,AL,43,751,540,,1
0100930,Covington County,AL,42,3028,1695,,1
0100960,Crenshaw County,AL,43,2063,1359,,1
0100990,Cullman City,AL,32,3243,1125,,1
0101020,Cullman County,AL,42,9901,4849,,1
0101050,Dale County,AL,42,3376,1839,,1
0101080,Daleville City,AL,32,1156,841,,1
0101110,Dallas County,AL,42,2283,1908,,1
0101140,DeKalb County,AL,42,8769,5741,,1
0101170,Decatur City,AL,13,8902,5666,,1
0101200,Demopolis City,AL,33,1918,1100,,1
0101230,Dothan City,AL,13,8220,5640,,1
0101260,Elba City,AL,43,603,420,,1
0101290,Elmore County,AL,42,11741,5493,,1
0101320,Enterprise City,AL,32,6612,3292,,1
0101350,Escambia County,AL,32,4072,2712,,1
0101380,Etowah County,AL,41,8739,4225,,1
0101410,Eufaula City,AL,32,8421,5916,,1
0101440,Fairfield City,AL,21,1348,1163,,1
0101470,Fayette County,AL,43,2268,1255,,1
0101530,Florence City,AL,13,4574,2648,,1
0101560,Fort Payne City,AL,32,3508,2152,,1
0101590,Franklin County,AL,42,3563,1996,,1
0101620,Gadsden City,AL,13,4940,3567,,1
0101640,Geneva City,AL,42,1229,612,,1
0101660,Geneva County,AL,42,2814,1661,,1
0101680,Greene County,AL,42,841,733,,1
0101690,Guntersville City,AL,32,1810,926,,1
0101710,Hale County,AL,41,2193,1483,,1
0101720,Haleyville City,AL,43,1597,902,,1
0101730,Hartselle City,AL,41,3683,1285,,1
0101740,Henry County,AL,42,2524,1300,,1
0101760,Homewood City,AL,21,4492,1137,,1
0101770,Houston County,AL,42,6907,3836,,1
0101800,Huntsville City,AL,12,24222,11495,,1
0101830,Jackson County,AL,42,5159,2699,,1
0101860,Jacksonville City,AL,23,1685,873,,1
0101890,Jasper City,AL,32,2950,1475,,1
0101920,Jefferson County,AL,21,35444,20851,,1
0101950,Lamar County,AL,43,2129,1123,,1
0101980,Lanett City,AL,32,971,629,,1
0102010,Lauderdale County,AL,42,7952,3246,,1
0102040,Lawrence County,AL,42,4676,2652,,1
0102070,Lee County,AL,21,9026,4487,,1
0102100,Limestone County,AL,41,16497,9600,,1
0102130,Linden City,AL,43,387,330,,1
0102160,Lowndes County,AL,42,1109,941,,1
0102190,Macon County,AL,41,1692,1351,,1
0102220,Madison County,AL,41,20691,8424,,1
0102250,Marengo County,AL,43,965,662,,1
0102310,Marion County,AL,43,3302,1915,,1
0102350,Midfield City,AL,21,992,822,,1
0102370,Mobile County,AL,12,49946,33751,,1
0102400,Monroe County,AL,42,2963,1978,,1
0102430,Montgomery County,AL,12,26395,18543,,1
0102480,Morgan County,AL,42,7619,4273,,1
0102490,Mountain Brook City,AL,21,4425,108,,1
0102520,Muscle Shoals City,AL,13,2979,997,,1
